"","teritorija"
"1","ASV Guamas teritorija"
"2","ASV Samoa teritorija"
"3","ASV Virdžīnu salu teritorija"
"4","Amerikas Savienoto Valstu Virdžīnu salas"
"5","Andora"
"6","Andoras Ielejas"
"7","Angilja"
"8","Angilja (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"9","Angiljas teritorija"
"10","Antigva un Barbuda"
"11","Antiļas (Nīderlandes Antiļu salas)"
"12","Antiļas (Nīderlandes Karaliste)"
"13","Apvienotie Arābu Emirāti"
"14","Aruba (Nīderlandes Karaliste)"
"15","Bahamu Sadraudzība"
"16","Bahamu salas"
"17","Bahamu salu Sadraudzība"
"18","Bahreina"
"19","Bahreinas Valsts"
"20","Barbadosa"
"21","Beliza"
"22","Bermudu salas"
"23","Bermudu salas (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"24","Britu Virdžīnu salas"
"25","Bruneja"
"26","Bruneja Darusalama"
"27","Dominika"
"28","Dominikas Sadraudzība"
"29","Džibuti"
"30","Džibutijas Republika"
"31","Džērsi (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"32","Džērsi sala"
"33","Ekvadora"
"34","Ekvadoras Republika"
"35","Fidži Republika"
"36","Gibraltārs"
"37","Gibraltārs (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"38","Grenada"
"39","Grenāda"
"40","Guama (Amerikas Savienotās Valstis)"
"41","Gvatemala"
"42","Gvatemalas Republika"
"43","Gērnsi (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"44","Gērnsi sala"
"45","Honkonga"
"46","Honkonga (Sjangana, Ķīnas Tautas Republika)"
"47","Jamaika"
"48","Jaunkaledonija"
"49","Jaunkaledonija (Francijas Republika)"
"50","Jordānija"
"51","Jordānijas Hāšimītu Karaliste"
"52","Kaimanu salas"
"53","Kaimanu salas (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"54","Kampione"
"55","Kampiones pilsēta (Itālijas Republika)"
"56","Katāras Valsts"
"57","Kenija"
"58","Kenijas Republika"
"59","Kipra"
"60","Kipras Republika"
"61","Kirasao (Nīderlandes Karaliste)"
"62","Kostarika"
"63","Kostarikas Republika"
"64","Kuka salas"
"65","Kuka salas (Jaunzēlande)"
"66","Kuveita"
"67","Kuveitas Valsts"
"68","Labuāna (Malaizija)"
"69","Libāna"
"70","Libānas Republika"
"71","Libērija"
"72","Libērijas Republika"
"73","Lihtenšteinas Firstiste"
"74","Madeiras sala (Portugāles Republika)"
"75","Madeiras un Santamarijas salas"
"76","Makao"
"77","Makao (Ķīnas Tautas Republika)"
"78","Maldivu salas"
"79","Maldīvijas Republika"
"80","Maurīcijas Republika"
"81","Menas sala"
"82","Menas sala (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"83","Monako"
"84","Monako Firstiste"
"85","Montserrata"
"86","Montserrata (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"87","Māršala salas"
"88","Māršala salu Republika"
"89","Nauru"
"90","Nauru Republika"
"91","Niue (Jaunzēlande)"
"92","Olderne (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"93","Palau Republika"
"94","Panama"
"95","Panamas Republika"
"96","Samoa Neatkarīgā Valsts"
"97","Sanmarīno"
"98","Sanmarīno Republika"
"99","Santamarijas sala (Portugāles Republika)"
"100","Santomes un Prinsipi Demokrātiskā Republika"
"101","Seišelu Republika"
"102","Seišelu Salas"
"103","Senpjēra un Mikelona"
"104","Senpjēra un Mikelona (Francijas Republika)"
"105","Sentkitsa un Nevisa"
"106","Sentkitsas un Nevisas Federācija"
"107","Sentlūsija"
"108","Sentvinsenta un Grenadīnas"
"109","Singapūra"
"110","Sintmārtena (Nīderlandes Karaliste)"
"111","Svētās Helēnas sala"
"112","Svētās Helēnas sala (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"113","Taiti (Franču Polinēzija)"
"114","Tonga"
"115","Tongas Karaliste"
"116","Trinidādas un Tobāgo Republika"
"117","Tērksas un Kaikosas (Lielbritānijas un Ziemeļīrijas Apvienotā Karaliste)"
"118","Tērksas un Kaikosas salu teritorija"
"119","Tērksu un Kaikosu salas"
"120","Urugvaja"
"121","Urugvajas Austrumu Republika"
"122","Vanuatu"
"123","Vanuatu Republika"
"124","Venecuēla"
"125","Venecuēlas Republika"
"126","Zanzibāras sala (Tanzānijas Apvienotā Republika)"
"127"," ASV Guamas teritorija"
"128"," ASV Samoa teritorija"
"129"," ASV Virdžīnu salu teritorija"
"130"," Angiljas teritorija"
"131"," Bahamu Sadraudzība"
"132"," Fidži Republika"
"133"," Palau Republika"
"134"," Panamas Republika"
"135"," Samoa Neatkarīgā Valsts"
"136"," Trinidādas un Tobāgo Republika"
"137"," Tērksas un Kaikosas salu teritorija"
"138"," Vanuatu Republika"
